visit_Cnt,buy_Cnt,total_Revenue,labels
3,1,53.37,0
2,1,82.63,0
2,1,29.99,0
5,1,2369.5,0
3,1,71.98,0
2,1,33.62,0
7,1,1634.6,0
1,1,97.02,0
8,1,65.58,0
5,1,29.48,0
11,2,479.28,0
2,1,34.78,0
1,1,17.99,0
4,1,36.0,0
1,1,31.98,0
22,2,302.58,0
1,1,44.11,0
2,2,48.36,0
4,1,124.16,0
9,1,89.22,0
1,1,61.93,0
1,1,78.92,0
2,1,72.94,0
1,1,51.97,0
6,1,36.59,0
1,1,77.99,0
1,1,18.59,0
2,1,74.87,0
3,1,18.87,0
2,1,1960.55,0
2,1,19.99,0
1,1,35.95,0
2,1,24.33,0
11,1,117.98,0
5,2,758.6700000000001,0
2,1,24.27,0
6,1,173.72,0
2,1,2217.4,0
2,1,283.7,0
2,1,30.6,0
2,1,16.98,0
2,1,385.94,0
9,1,28.98,0
5,1,10.96,0
3,1,118.15,0
2,1,87.8,0
1,1,29.98,0
1,1,6.98,0
1,1,20.99,0
6,1,78.16,0
9,5,4027.21,0
5,1,31.5,0
1,1,22.19,0
2,1,89.99,0
6,2,124.47999999999999,0
3,1,46.48,0
1,1,22.99,0
2,1,895.22,0
1,1,196.98,0
3,1,46.98,0
1,1,79.43,0
9,1,330.24,0
2,1,40.49,0
2,1,356.11,0
2,1,72.85,0
3,1,31.93,0
3,1,231.16,0
1,1,103.77,0
1,1,271.7,0
4,3,109.15,0
3,1,85.35,0
1,1,27.19,0
7,1,65.37,0
1,1,35.99,0
1,1,19.99,0
7,1,21.09,0
28,3,261.19,0
2,1,186.58,0
5,2,286.03,0
3,1,36.98,0
5,1,47.4,0
4,1,2.04,0
6,1,24.28,0
1,1,14.98,0
1,1,121.5,0
2,1,99.97,0
2,1,72.55,0
6,1,68.95,0
2,1,22.99,0
2,1,85.77,0
1,1,77.95,0
1,1,71.53,0
3,1,78.98,0
1,1,19.99,0
2,1,43.59,0
1,1,1606.2,0
1,1,55.98,0
2,1,218.6,0
1,1,35.49,0
3,1,29.98,0
3,2,742.3800000000001,0
11,1,23.99,0
2,1,86.92,0
1,1,63.99,0
1,1,10.99,0
1,1,8.99,0
1,1,447.75,0
4,1,46.72,0
1,1,117.11,0
1,1,45.99,0
4,1,72.47,0
9,3,1927.42,0
2,1,299.17,0
6,1,96.92,0
12,2,1355.9099999999999,0
2,1,75.91,0
1,1,13.38,0
2,1,17.99,0
15,2,340.63,0
13,2,468.19000000000005,0
7,1,47.79,0
1,1,381.65,0
5,1,89.95,0
2,1,463.55,0
2,1,22.37,0
7,1,15.67,0
4,1,52.43,0
1,1,29.97,0
2,1,23.99,0
7,1,61.99,0
1,1,146.33,0
7,2,155.95,0
1,1,47.72,0
4,1,19.9,0
3,2,202.13,0
12,1,59.99,0
1,1,110.12,0
2,1,52.94,0
8,1,127.98,0
2,1,36.99,0
2,1,64.97,0
1,1,23.19,0
2,1,13.99,0
2,1,3.5,0
4,1,223.89,0
3,1,27.19,0
2,1,24.1,0
2,1,19.38,0
1,1,34.58,0
4,1,55.17,0
2,1,47.98,0
1,1,44.97,0
2,1,32.82,0
3,1,12.99,0
1,1,64.03,0
19,4,205.68,0
3,1,161.52,0
7,2,538.6,0
2,1,20.49,0
3,2,161.96,0
1,1,12.97,0
2,1,148.8,0
1,1,15.99,0
2,1,52.98,0
3,1,50.77,0
1,1,227.8,0
1,1,26.98,0
1,1,79.96,0
1,1,47.53,0
5,1,271.7,0
2,1,19.15,0
2,1,203.35,0
1,1,16.59,0
2,1,97.36,0
2,1,339.75,0
7,2,228.28,0
5,2,170.76999999999998,0
1,1,16.98,0
6,1,76.89,0
3,1,21.59,0
6,1,29.25,0
5,1,24.14,0
2,1,78.96,0
2,1,32.98,0
8,1,113.04,0
6,1,34.59,0
8,2,381.05,0
3,1,27.9,0
1,1,17.99,0
2,1,95.97,0
3,1,79.97,0
2,1,42.95,0
2,1,21.99,0
1,1,22.99,0
6,1,80.99,0
3,1,9.86,0
1,1,26.99,0
1,1,17.29,0
1,1,24.99,0
1,1,79.74,0
1,1,18.59,0
4,1,225.96,0
1,1,19.19,0
5,2,1100.8400000000001,0
2,1,113.37,0
1,1,35.28,0
3,1,67.96,0
4,1,17.99,0
1,1,680.05,0
2,1,227.6,0
9,2,4152.79,0
2,1,33.42,0
1,1,501.56,0
1,1,42.35,0
3,1,87.19,0
1,1,21.19,0
3,1,40.59,0
1,1,30.97,0
1,1,39.98,0
5,1,42.33,0
4,1,40.59,0
9,1,18.96,0
3,1,49.78,0
2,1,73.24,0
6,1,36.78,0
2,1,64.99,0
1,1,88.98,0
2,1,42.97,0
1,1,43.99,0
3,2,102.42,0
3,1,69.98,0
2,1,606.95,0
2,1,112.27,0
8,1,157.9,0
4,1,6.2,0
1,1,28.18,0
2,1,8.5,0
10,1,29.42,0
3,1,71.22,0
10,5,1350.5700000000002,0
1,1,42.59,0
6,1,40.21,0
8,4,858.28,0
2,1,29.8,0
2,1,132.96,0
1,1,850.94,0
6,1,127.77,0
1,1,40.76,0
2,1,87.97,0
4,1,19.99,0
8,1,28.84,0
4,1,22.59,0
5,1,175.83,0
3,2,77.45,0
1,1,39.61,0
2,1,26.98,0
16,5,4357.66,0
4,1,8.97,0
1,1,48.91,0
4,1,20.49,0
8,2,52.97,0
7,1,22.99,0
1,1,52.29,0
4,2,50.18,0
1,1,39.38,0
4,1,18.59,0
2,1,31.99,0
3,1,43.19,0
4,1,15.2,0
2,1,44.57,0
4,1,33.78,0
1,1,57.77,0
4,1,53.58,0
1,1,52.79,0
6,1,198.13,0
132,1,19.98,0
4,1,56.99,0
4,1,113.16,0
1,1,45.17,0
1,1,49.97,0
5,1,39.98,0
1,1,23.64,0
3,1,142.58,0
1,1,21.95,0
1,1,164.0,0
1,1,69.2,0
3,1,123.0,0
20,1,24.98,0
11,1,122.97,0
3,1,50.79,0
2,1,36.98,0
8,1,30.99,0
3,1,88.99,0
3,2,71.72,0
7,1,26.98,0
5,1,13.98,0
1,1,46.85,0
2,1,64.97,0
4,1,31.62,0
4,1,20.99,0
2,1,167.15,0
5,1,35.28,0
3,1,91.37,0
2,1,66.96,0
2,1,43.95,0
3,1,57.37,0
1,1,28.98,0
4,1,93.76,0
1,1,27.99,0
2,1,78.11,0
1,1,45.47,0
1,1,31.49,0
1,1,167.5,0
2,1,106.48,0
1,1,36.19,0
1,1,46.12,0
5,1,87.99,0
5,1,56.96,0
1,1,238.92,0
8,1,35.98,0
5,1,608.87,0
8,2,1084.79,0
2,1,91.96,0
1,1,86.96,0
1,1,25.99,0
1,1,27.99,0
5,1,74.48,0
2,1,28.98,0
2,1,16.79,0
1,1,110.69,0
1,1,45.98,0
7,1,77.43,0
2,1,56.28,0
1,1,26.9,0
3,1,118.96,0
1,1,64.97,0
4,1,42.98,0
3,1,114.8,0
2,1,79.22,0
1,1,102.3,0
3,2,96.35,0
6,1,101.89,0
3,1,66.98,0
10,1,112.91,0
1,1,47.99,0
9,1,83.18,0
4,1,110.98,0
1,1,17.59,0
4,1,125.5,0
17,1,73.6,0
1,1,57.97,0
3,1,67.07,0
3,1,98.98,0
1,1,61.92,0
2,1,37.19,0
1,1,193.89,0
3,1,43.57,0
1,1,7.99,0
1,1,13.98,0
2,1,12.99,0
7,3,219.25,0
4,1,22.99,0
8,2,236.25,0
9,1,116.93,0
5,1,111.78,0
4,1,109.97,0
3,1,35.19,0
1,1,21.99,0
4,1,40.99,0
4,1,16.59,0
10,1,60.07,0
3,1,110.86,0
2,1,36.42,0
13,3,486.65,0
1,1,27.99,0
2,1,2774.11,0
1,1,69.45,0
5,1,592.58,0
1,1,61.94,0
1,1,7.98,0
3,1,53.34,0
5,2,409.34000000000003,0
4,1,28.99,0
2,1,26.25,0
1,1,19.19,0
2,1,49.48,0
3,1,61.97,0
1,1,186.73,0
1,1,79.33,0
2,1,60.17,0
1,1,49.79,0
1,1,19.99,0
1,1,14.0,0
1,1,100.81,0
2,1,17.69,0
2,1,19.99,0
1,1,79.97,0
7,1,39.56,0
3,1,50.61,0
1,1,33.98,0
4,1,57.16,0
1,1,74.7,0
1,1,22.59,0
4,1,44.99,0
2,1,436.5,0
1,1,45.96,0
3,1,81.98,0
3,1,70.84,0
4,1,123.2,0
7,1,64.99,0
6,1,32.51,0
1,1,45.97,0
1,1,311.32,0
5,1,122.0,0
2,1,30.78,0
1,1,51.71,0
20,1,301.31,0
1,1,47.57,0
3,1,123.99,0
1,1,137.36,0
5,1,34.78,0
3,1,73.18,0
1,1,46.59,0
1,1,37.19,0
3,1,66.99,0
1,1,20.98,0
2,1,56.99,0
2,1,148.82,0
6,1,42.85,0
3,1,45.48,0
1,1,235.24,0
1,1,306.7,0
1,1,52.99,0
3,1,16.79,0
12,1,83.85,0
2,1,118.49,0
5,1,63.43,0
3,2,106.11,0
3,1,18.99,0
5,2,122.78,0
5,1,78.19,0
2,1,34.27,0
19,2,130.53,0
1,1,80.46,0
3,1,21.99,0
2,1,182.96,0
10,1,71.15,0
4,1,48.59,0
1,1,164.93,0
2,2,105.47,0
1,1,466.44,0
3,1,36.04,0
3,1,751.08,0
3,1,53.87,0
1,1,37.08,0
6,1,33.97,0
1,1,14.96,0
2,1,24.59,0
2,2,287.03999999999996,0
4,1,95.95,0
9,3,519.86,0
1,1,108.05,0
3,1,51.02,0
1,1,215.87,0
2,1,23.99,0
1,1,21.99,0
11,1,43.38,0
3,1,26.99,0
4,1,55.17,0
2,1,47.34,0
3,1,462.4,0
28,3,171.53,0
4,1,71.19,0
1,1,68.19,0
2,1,35.99,0
1,1,44.98,0
2,1,50.79,0
1,1,327.04,0
3,1,59.87,0
6,1,27.98,0
1,1,74.94,0
1,1,35.37,0
1,1,16.29,0
2,1,13.98,0
8,1,382.88,0
4,1,193.44,0
2,1,5.99,0
2,1,119.77,0
2,1,32.78,0
3,1,36.45,0
5,1,142.54,0
2,1,106.94,0
8,1,47.0,0
2,1,26.96,0
11,1,109.57,0
8,2,1538.1,0
1,1,46.21,0
6,1,103.94,0
9,1,60.94,0
2,1,19.99,0
1,1,613.6,0
2,1,169.7,0
11,1,55.54,0
2,1,39.25,0
11,3,179.41,0
2,1,34.68,0
3,1,98.41,0
2,1,55.61,0
1,1,99.04,0
6,1,19.98,0
2,1,24.98,0
2,1,125.8,0
3,1,20.19,0
1,1,48.99,0
2,1,282.25,0
2,1,96.42,0
1,1,131.98,0
6,1,60.16,0
16,7,4353.8099999999995,0
1,1,69.17,0
6,1,11.78,0
1,1,25.99,0
5,1,27.49,0
3,1,25.77,0
2,1,29.99,0
10,2,329.09999999999997,0
2,1,1229.02,0
2,1,30.99,0
2,1,32.99,0
5,1,75.78,0
3,1,21.45,0
1,1,34.49,0
2,1,34.39,0
1,1,21.99,0
2,1,20.19,0
11,1,928.94,0
2,1,159.7,0
1,1,19.95,0
1,1,35.98,0
17,1,11.99,0
4,1,23.99,0
4,1,114.9,0
1,1,28.19,0
2,1,24.99,0
3,1,23.99,0
26,1,79.0,0
1,1,134.94,0
1,1,28.16,0
2,1,1254.85,0
8,2,163.91,0
3,1,692.81,0
1,1,23.99,0
1,1,181.16,0
4,1,57.97,0
2,1,168.5,0
6,1,291.35,0
3,1,32.98,0
1,1,15.59,0
2,1,20.99,0
1,1,7.59,0
6,2,219.96,0
2,1,53.66,0
2,1,36.14,0
1,1,23.99,0
2,1,31.94,0
4,1,47.49,0
2,1,34.0,0
1,1,907.5,0
3,1,14.59,0
2,1,18.98,0
3,1,55.97,0
3,1,25.99,0
3,1,32.98,0
1,1,63.96,0
3,1,51.72,0
8,2,63.97,0
3,1,69.07,0
1,1,19.63,0
9,3,411.82,0
5,1,128.98,0
1,1,53.96,0
2,1,24.58,0
1,1,27.59,0
1,1,100.77,0
2,1,340.7,0
1,1,30.29,0
12,4,267.68,0
3,1,121.52,0
1,1,37.83,0
1,1,13.99,0
3,1,138.92,0
4,1,58.91,0
1,1,44.99,0
2,1,40.98,0
11,1,90.99,0
1,1,33.99,0
2,1,115.98,0
2,1,34.19,0
9,1,40.98,0
1,1,59.38,0
1,1,53.8,0
1,1,122.98,0
1,1,92.99,0
10,1,36.78,0
1,1,17.39,0
8,1,14.99,0
13,2,913.13,0
5,1,35.95,0
5,1,104.96,0
1,1,53.38,0
1,1,36.39,0
2,1,16.29,0
1,1,28.98,0
1,1,97.78,0
2,1,68.59,0
3,1,19.29,0
19,3,3298.5699999999997,0
2,1,146.99,0
4,2,708.63,0
1,1,90.58,0
2,1,36.73,0
1,1,43.98,0
2,1,67.98,0
4,1,7.98,0
1,1,705.8,0
3,2,217.91,0
2,1,5.59,0
1,1,92.92,0
2,1,31.38,0
15,3,425.03999999999996,0
1,1,59.98,0
6,1,83.58,0
1,1,73.96,0
3,1,100.94,0
1,1,286.0,0
4,1,38.78,0
6,1,1140.35,0
4,1,392.65,0
1,1,80.9,0
3,1,38.98,0
2,1,37.98,0
2,1,50.43,0
8,1,185.66,0
1,1,41.59,0
4,1,363.39,0
2,1,91.98,0
1,1,65.45,0
2,1,403.06,0
4,1,18.99,0
4,1,281.1,0
1,1,36.98,0
1,1,23.99,0
8,2,3104.24,0
1,1,17.49,0
1,1,186.66,0
2,1,104.99,0
5,1,28.19,0
1,1,65.99,0
1,1,37.77,0
3,1,51.79,0
4,1,18.11,0
1,1,15.17,0
1,1,74.57,0
1,1,7.99,0
7,1,34.98,0
6,1,35.99,0
1,1,36.07,0
1,1,33.98,0
4,1,67.96,0
2,1,267.7,0
1,1,189.21,0
2,1,19.99,0
13,1,155.98,0
4,1,21.93,0
2,1,29.97,0
1,1,48.99,0
2,1,21.99,0
1,1,34.5,0
2,1,29.19,0
1,1,23.19,0
2,1,35.97,0
3,1,42.0,0
3,2,130.94,0
2,1,394.86,0
1,1,62.95,0
1,1,59.35,0
1,1,55.38,0
4,2,252.95999999999998,0
1,1,62.17,0
7,1,60.99,0
1,1,67.37,0
3,1,327.66,0
2,2,85.55000000000001,0
1,1,9.99,0
2,1,14.59,0
3,1,24.99,0
1,1,116.31,0
3,1,23.19,0
4,2,402.24,0
1,1,34.18,0
1,1,7.5,0
1,1,37.59,0
3,1,28.99,0
1,1,35.78,0
8,2,950.47,0
2,1,35.78,0
1,1,10.79,0
2,1,37.99,0
5,1,38.98,0
3,1,112.41,0
2,1,74.77,0
8,1,724.82,0
3,2,115.11000000000001,0
3,1,19.59,0
1,1,40.18,0
3,1,54.0,0
6,1,37.76,0
2,1,208.18,0
3,1,68.45,0
1,1,95.47,0
3,1,40.59,0
2,1,40.59,0
9,2,248.78000000000003,0
4,1,18.59,0
1,1,60.11,0
2,1,156.7,0
2,1,37.59,0
2,1,175.95,0
4,1,87.99,0
7,1,417.02,0
3,1,170.56,0
3,1,48.8,0
1,1,35.99,0
4,1,50.79,0
3,1,32.99,0
3,1,18.99,0
1,1,196.68,0
1,1,11.98,0
3,1,164.15,0
6,1,57.0,0
3,1,53.37,0
3,1,78.96,0
9,1,10.57,0
15,1,25.99,0
1,1,51.37,0
1,1,110.11,0
1,1,58.8,0
3,1,25.99,0
1,1,145.92,0
12,1,93.49,0
1,1,49.18,0
5,2,110.33,0
1,1,17.99,0
3,1,20.96,0
4,1,377.9,0
6,1,14.99,0
1,1,368.0,0
6,2,2124.15,0
2,1,14.98,0
2,1,48.77,0
2,1,16.78,0
3,1,80.95,0
1,1,117.47,0
1,1,28.66,0
4,2,535.22,0
1,1,70.98,0
2,1,29.49,0
2,1,28.75,0
1,1,28.22,0
5,2,8397.32,3
5,1,29.18,0
3,1,22.19,0
3,1,484.82,0
1,1,106.48,0
4,1,35.09,0
3,2,192.96,0
2,1,14.0,0
1,1,132.97,0
6,1,12.98,0
3,1,165.68,0
5,2,87.33000000000001,0
4,1,28.18,0
1,1,109.14,0
3,1,38.98,0
1,1,48.25,0
3,1,63.99,0
2,1,27.38,0
3,1,25.99,0
3,1,59.85,0
3,1,28.98,0
1,1,28.96,0
1,1,42.95,0
5,2,60.81,0
1,1,30.99,0
1,1,44.99,0
4,1,28.19,0
1,1,54.57,0
2,1,85.26,0
2,1,28.7,0
5,1,35.97,0
1,1,34.98,0
6,1,123.94,0
3,1,9.99,0
1,1,43.38,0
3,1,68.78,0
2,1,278.7,0
3,2,125.88,0
1,1,69.77,0
1,1,18.39,0
1,1,5.59,0
2,1,118.26,0
1,1,21.95,0
3,1,10.98,0
2,1,63.18,0
3,1,29.99,0
3,1,81.98,0
5,1,53.77,0
2,1,160.34,0
1,1,38.98,0
5,3,262.96,0
4,1,88.99,0
1,1,55.38,0
2,1,89.99,0
3,1,21.99,0
8,2,152.36,0
2,1,18.08,0
1,1,16.29,0
1,1,41.78,0
9,1,78.61,0
3,1,23.99,0
2,1,79.77,0
1,1,82.19,0
2,1,55.37,0
2,1,172.65,0
1,1,64.59,0
1,1,25.99,0
1,1,82.96,0
5,1,72.18,0
9,1,171.97,0
2,2,1032.33,0
3,1,63.48,0
1,1,109.86,0
8,2,100.51,0
1,1,24.99,0
2,1,58.99,0
1,1,18.99,0
3,1,49.98,0
2,1,42.19,0
3,1,106.97,0
1,1,12.7,0
6,2,186.32,0
7,1,34.5,0
1,1,534.82,0
2,1,240.34,0
4,1,43.01,0
5,1,38.91,0
3,1,64.1,0
1,1,354.6,0
44,1,16.99,0
4,1,47.97,0
9,1,18.99,0
5,1,95.62,0
2,2,6007.32,0
1,1,34.37,0
1,1,26.59,0
2,1,40.59,0
2,1,46.79,0
1,1,79.44,0
3,1,1100.0,0
5,1,48.79,0
2,1,124.38,0
1,1,19.99,0
4,1,95.05,0
1,1,45.55,0
1,1,79.98,0
2,1,26.98,0
1,1,20.19,0
1,1,83.38,0
4,1,102.99,0
3,1,107.0,0
2,1,61.99,0
2,1,29.3,0
1,1,39.98,0
3,1,287.82,0
1,1,16.59,0
1,1,25.19,0
2,1,23.99,0
2,1,120.96,0
1,1,7.97,0
1,1,85.95,0
2,2,119.37,0
3,1,52.99,0
2,1,35.59,0
3,1,111.02,0
2,1,58.14,0
3,1,9.18,0
1,1,29.95,0
1,1,41.77,0
2,1,47.48,0
1,1,37.59,0
21,2,74.62,0
1,1,43.99,0
1,1,20.99,0
2,1,31.99,0
4,2,415.05,0
2,1,28.99,0
2,1,99.34,0
4,1,61.97,0
5,3,142.93,0
1,1,49.0,0
2,1,49.6,0
4,2,367.3,0
4,1,283.09,0
1,1,24.99,0
4,1,167.14,0
6,3,147.95,0
5,1,10.99,0
8,3,2119.9,0
1,1,81.78,0
1,1,56.96,0
2,1,53.99,0
3,1,20.19,0
3,1,21.99,0
5,2,74.17,0
1,1,620.15,0
3,1,127.46,0
2,1,107.99,0
1,1,24.19,0
3,1,338.0,0
1,1,14.98,0
17,13,3573.14,0
3,1,94.16,0
8,1,149.29,0
2,1,137.45,0
1,1,63.99,0
7,1,280.23,0
3,1,44.17,0
8,2,649.14,0
3,1,30.38,0
1,1,17.99,0
2,1,35.78,0
6,1,166.9,0
5,1,8.16,0
1,1,38.38,0
3,1,115.98,0
3,1,15.98,0
2,1,51.99,0
7,1,3383.4,0
5,1,43.96,0
22,2,655.34,0
2,1,27.76,0
4,1,60.96,0
6,1,131.73,0
1,1,65.73,0
1,1,45.48,0
3,1,62.1,0
1,1,38.28,0
2,1,39.28,0
3,2,92.94999999999999,0
1,1,25.99,0
2,1,18.99,0
4,1,597.25,0
2,1,23.98,0
2,1,56.32,0
2,1,58.37,0
2,1,24.99,0
4,3,320.91,0
2,2,130.98,0
4,1,38.76,0
5,2,81.57,0
1,1,131.98,0
8,3,667.94,0
2,1,32.68,0
1,1,316.65,0
4,1,33.37,0
7,1,58.52,0
2,1,118.8,0
3,1,58.96,0
1,1,21.0,0
3,1,73.16,0
2,1,42.77,0
4,1,38.98,0
1,1,17.99,0
1,1,82.96,0
1,1,96.96,0
1,1,90.42,0
1,1,15.99,0
5,1,73.05,0
3,1,130.7,0
2,1,32.08,0
2,1,123.91,0
1,1,129.94,0
3,1,1200.5,0
2,1,19.99,0
3,1,46.57,0
10,2,63.96,0
1,1,26.99,0
1,1,36.73,0
2,1,308.12,0
3,1,173.97,0
2,1,34.98,0
2,1,759.45,0
4,1,78.13,0
2,2,105.78,0
4,1,117.05,0
7,1,8.23,0
2,1,74.96,0
1,1,73.28,0
1,1,51.37,0
8,2,54.98,0
3,1,24.97,0
2,1,50.62,0
1,1,226.67,0
1,1,29.98,0
4,1,46.57,0
2,1,28.38,0
7,1,245.79,0
2,1,28.78,0
2,1,34.36,0
1,1,138.85,0
1,1,11.99,0
1,1,32.19,0
1,1,14.99,0
1,1,25.99,0
1,1,15.99,0
1,1,655.1,0
5,2,132.16,0
5,2,626.77,0
5,1,87.64,0
4,1,31.19,0
5,1,117.98,0
2,1,34.98,0
3,1,27.38,0
1,1,40.98,0
2,2,144.49,0
1,1,36.99,0
2,1,40.98,0
3,1,6.98,0
2,1,25.19,0
4,1,79.74,0
1,1,32.39,0
2,1,25.49,0
2,1,24.99,0
5,1,15.97,0
5,1,47.79,0
4,1,9.79,0
1,1,168.36,0
6,2,1216.51,0
3,1,53.37,0
2,1,63.9,0
4,1,80.84,0
2,1,30.99,0
1,1,153.38,0
13,2,534.9100000000001,0
1,1,25.28,0
1,1,76.96,0
1,1,37.96,0
4,2,163.4,0
1,1,152.7,0
11,1,147.9,0
1,1,33.18,0
2,1,70.96,0
3,1,201.9,0
8,1,1513.68,0
3,1,34.19,0
7,2,134.4,0
1,1,22.99,0
3,1,69.18,0
9,1,62.99,0
1,1,302.47,0
2,1,33.19,0
1,1,49.95,0
5,1,94.18,0
6,3,228.4,0
8,1,108.85,0
1,1,56.78,0
2,1,18.28,0
7,1,96.03,0
1,1,46.79,0
3,1,387.35,0
1,1,184.16,0
1,1,245.96,0
5,3,516.88,0
2,1,1268.08,0
1,1,22.73,0
8,1,33.62,0
1,1,49.99,0
1,1,32.94,0
2,1,128.27,0
5,1,31.97,0
1,1,22.99,0
1,1,30.48,0
3,1,36.95,0
2,1,32.15,0
1,1,43.92,0
1,1,67.99,0
1,1,22.99,0
9,2,89.56,0
2,1,54.82,0
3,1,26.99,0
4,1,84.99,0
3,1,71.59,0
15,3,838.48,0
2,1,232.92,0
1,1,33.16,0
