visit_Cnt,buy_Cnt,total_Revenue
6,1,247.0
1,1,44.15
4,1,563.5
3,1,25.59
2,1,196.1
2,1,50.99
8,2,391.18
6,1,137.13
1,1,36.98
3,1,97.55
4,1,17.99
6,1,42.17
3,1,16.43
3,1,65.77
3,1,211.68
7,1,502.03
1,1,28.17
3,1,31.39
1,1,16.97
2,1,99.97
5,1,34.98
6,1,154.87
1,1,26.59
13,1,20.46
3,1,62.87
1,1,13.99
2,1,52.37
4,1,21.42
4,3,162.62
2,1,39.38
2,1,16.98
3,1,89.98
3,1,42.18
4,1,23.97
3,1,627.75
3,1,25.97
2,1,37.17
4,2,65.95
7,1,487.6
2,1,31.15
2,1,55.37
2,1,91.58
2,1,162.91
1,1,139.85
5,1,369.66
11,3,1925.96
1,1,63.97
3,2,148.51
2,1,23.99
6,3,399.55
2,1,31.92
5,1,208.55
3,1,7.98
5,1,19.79
4,1,36.26
4,1,18.39
1,1,24.5
1,1,41.98
1,1,55.1
5,1,42.62
1,1,21.31
7,1,65.99
4,1,33.97
8,2,158.97
8,2,7056.15
1,1,35.91
3,1,34.54
4,1,475.75
3,2,43.57
9,2,377.66999999999996
2,1,46.98
2,1,62.52
18,1,55.74
6,1,81.71
2,1,39.16
7,1,127.96
3,1,346.62
5,1,117.32
2,1,19.18
1,1,173.27
2,1,31.93
1,1,24.19
1,1,83.81
1,1,72.36
5,1,93.99
4,1,44.48
14,1,39.37
3,1,49.29
1,1,86.34
5,1,93.87
4,1,23.39
5,1,26.82
2,1,108.14
1,1,47.95
3,1,244.14
1,1,28.98
1,1,74.19
4,2,3531.12
5,1,39.98
1,1,14.97
4,1,37.59
1,1,14.98
1,1,21.62
2,1,21.19
3,1,42.98
2,1,83.64
4,2,1162.99
2,1,80.9
4,1,73.18
1,1,35.19
8,1,39.98
1,1,40.79
3,1,53.37
2,1,82.63
2,1,29.99
5,1,2369.5
3,1,71.98
2,1,33.62
7,1,1634.6
1,1,97.02
8,1,65.58
5,1,29.48
11,2,479.28
2,1,34.78
1,1,17.99
4,1,36.0
1,1,31.98
22,2,302.58
1,1,44.11
2,2,48.36
4,1,124.16
9,1,89.22
1,1,61.93
1,1,78.92
2,1,72.94
1,1,51.97
6,1,36.59
1,1,77.99
1,1,18.59
2,1,74.87
3,1,18.87
2,1,1960.55
2,1,19.99
1,1,35.95
2,1,24.33
11,1,117.98
5,2,758.6700000000001
2,1,24.27
6,1,173.72
2,1,2217.4
2,1,283.7
2,1,30.6
2,1,16.98
2,1,385.94
9,1,28.98
5,1,10.96
3,1,118.15
2,1,87.8
1,1,29.98
1,1,6.98
1,1,20.99
6,1,78.16
9,5,4027.21
5,1,31.5
1,1,22.19
2,1,89.99
6,2,124.47999999999999
3,1,46.48
1,1,22.99
2,1,895.22
1,1,196.98
3,1,46.98
1,1,79.43
9,1,330.24
2,1,40.49
2,1,356.11
2,1,72.85
3,1,31.93
3,1,231.16
1,1,103.77
1,1,271.7
4,3,109.15
3,1,85.35
1,1,27.19
7,1,65.37
1,1,35.99
1,1,19.99
7,1,21.09
28,3,261.19
2,1,186.58
5,2,286.03
3,1,36.98
5,1,47.4
4,1,2.04
6,1,24.28
1,1,14.98
1,1,121.5
2,1,99.97
2,1,72.55
6,1,68.95
2,1,22.99
2,1,85.77
1,1,77.95
1,1,71.53
3,1,78.98
1,1,19.99
2,1,43.59
1,1,1606.2
1,1,55.98
2,1,218.6
1,1,35.49
3,1,29.98
3,2,742.3800000000001
11,1,23.99
2,1,86.92
1,1,63.99
1,1,10.99
1,1,8.99
1,1,447.75
4,1,46.72
1,1,117.11
1,1,45.99
4,1,72.47
9,3,1927.42
2,1,299.17
6,1,96.92
12,2,1355.9099999999999
2,1,75.91
1,1,13.38
2,1,17.99
15,2,340.63
13,2,468.19000000000005
7,1,47.79
1,1,381.65
5,1,89.95
2,1,463.55
2,1,22.37
7,1,15.67
4,1,52.43
1,1,29.97
2,1,23.99
7,1,61.99
1,1,146.33
7,2,155.95
1,1,47.72
4,1,19.9
3,2,202.13
12,1,59.99
1,1,110.12
2,1,52.94
8,1,127.98
2,1,36.99
2,1,64.97
1,1,23.19
2,1,13.99
2,1,3.5
4,1,223.89
3,1,27.19
2,1,24.1
2,1,19.38
1,1,34.58
4,1,55.17
2,1,47.98
1,1,44.97
2,1,32.82
3,1,12.99
1,1,64.03
19,4,205.68
3,1,161.52
7,2,538.6
2,1,20.49
3,2,161.96
1,1,12.97
2,1,148.8
1,1,15.99
2,1,52.98
3,1,50.77
1,1,227.8
1,1,26.98
1,1,79.96
1,1,47.53
5,1,271.7
2,1,19.15
2,1,203.35
1,1,16.59
2,1,97.36
2,1,339.75
7,2,228.28
5,2,170.76999999999998
1,1,16.98
6,1,76.89
3,1,21.59
6,1,29.25
5,1,24.14
2,1,78.96
2,1,32.98
8,1,113.04
6,1,34.59
8,2,381.05
3,1,27.9
1,1,17.99
2,1,95.97
3,1,79.97
2,1,42.95
2,1,21.99
1,1,22.99
6,1,80.99
3,1,9.86
1,1,26.99
1,1,17.29
1,1,24.99
1,1,79.74
1,1,18.59
4,1,225.96
1,1,19.19
5,2,1100.8400000000001
2,1,113.37
1,1,35.28
3,1,67.96
4,1,17.99
1,1,680.05
2,1,227.6
9,2,4152.79
2,1,33.42
1,1,501.56
1,1,42.35
3,1,87.19
1,1,21.19
3,1,40.59
1,1,30.97
1,1,39.98
5,1,42.33
4,1,40.59
9,1,18.96
3,1,49.78
2,1,73.24
6,1,36.78
2,1,64.99
1,1,88.98
2,1,42.97
1,1,43.99
3,2,102.42
3,1,69.98
2,1,606.95
2,1,112.27
8,1,157.9
4,1,6.2
1,1,28.18
2,1,8.5
10,1,29.42
3,1,71.22
10,5,1350.5700000000002
1,1,42.59
6,1,40.21
8,4,858.28
2,1,29.8
2,1,132.96
1,1,850.94
6,1,127.77
1,1,40.76
2,1,87.97
4,1,19.99
8,1,28.84
4,1,22.59
5,1,175.83
3,2,77.45
1,1,39.61
2,1,26.98
16,5,4357.66
4,1,8.97
1,1,48.91
4,1,20.49
8,2,52.97
7,1,22.99
1,1,52.29
4,2,50.18
1,1,39.38
4,1,18.59
2,1,31.99
3,1,43.19
4,1,15.2
2,1,44.57
4,1,33.78
1,1,57.77
4,1,53.58
1,1,52.79
6,1,198.13
132,1,19.98
4,1,56.99
4,1,113.16
1,1,45.17
1,1,49.97
5,1,39.98
1,1,23.64
3,1,142.58
1,1,21.95
1,1,164.0
1,1,69.2
3,1,123.0
20,1,24.98
11,1,122.97
3,1,50.79
2,1,36.98
8,1,30.99
3,1,88.99
3,2,71.72
7,1,26.98
5,1,13.98
1,1,46.85
2,1,64.97
4,1,31.62
4,1,20.99
2,1,167.15
5,1,35.28
3,1,91.37
2,1,66.96
2,1,43.95
3,1,57.37
1,1,28.98
4,1,93.76
1,1,27.99
2,1,78.11
1,1,45.47
1,1,31.49
1,1,167.5
2,1,106.48
1,1,36.19
1,1,46.12
5,1,87.99
5,1,56.96
1,1,238.92
8,1,35.98
5,1,608.87
8,2,1084.79
2,1,91.96
1,1,86.96
1,1,25.99
1,1,27.99
5,1,74.48
2,1,28.98
2,1,16.79
1,1,110.69
1,1,45.98
7,1,77.43
2,1,56.28
1,1,26.9
3,1,118.96
1,1,64.97
4,1,42.98
3,1,114.8
2,1,79.22
1,1,102.3
3,2,96.35
6,1,101.89
3,1,66.98
10,1,112.91
1,1,47.99
9,1,83.18
4,1,110.98
1,1,17.59
4,1,125.5
17,1,73.6
1,1,57.97
3,1,67.07
3,1,98.98
1,1,61.92
2,1,37.19
1,1,193.89
3,1,43.57
1,1,7.99
1,1,13.98
2,1,12.99
7,3,219.25
4,1,22.99
8,2,236.25
9,1,116.93
5,1,111.78
4,1,109.97
3,1,35.19
1,1,21.99
4,1,40.99
4,1,16.59
10,1,60.07
3,1,110.86
2,1,36.42
13,3,486.65
1,1,27.99
2,1,2774.11
1,1,69.45
5,1,592.58
1,1,61.94
1,1,7.98
3,1,53.34
5,2,409.34000000000003
4,1,28.99
2,1,26.25
1,1,19.19
2,1,49.48
3,1,61.97
1,1,186.73
1,1,79.33
2,1,60.17
1,1,49.79
1,1,19.99
1,1,14.0
1,1,100.81
2,1,17.69
2,1,19.99
1,1,79.97
7,1,39.56
3,1,50.61
1,1,33.98
4,1,57.16
1,1,74.7
1,1,22.59
4,1,44.99
2,1,436.5
1,1,45.96
3,1,81.98
3,1,70.84
4,1,123.2
7,1,64.99
6,1,32.51
1,1,45.97
1,1,311.32
5,1,122.0
2,1,30.78
1,1,51.71
20,1,301.31
1,1,47.57
3,1,123.99
1,1,137.36
5,1,34.78
3,1,73.18
1,1,46.59
1,1,37.19
3,1,66.99
1,1,20.98
2,1,56.99
2,1,148.82
6,1,42.85
3,1,45.48
1,1,235.24
1,1,306.7
1,1,52.99
3,1,16.79
12,1,83.85
2,1,118.49
5,1,63.43
3,2,106.11
3,1,18.99
5,2,122.78
5,1,78.19
2,1,34.27
19,2,130.53
1,1,80.46
3,1,21.99
2,1,182.96
10,1,71.15
4,1,48.59
1,1,164.93
2,2,105.47
1,1,466.44
3,1,36.04
3,1,751.08
3,1,53.87
1,1,37.08
6,1,33.97
1,1,14.96
2,1,24.59
2,2,287.03999999999996
4,1,95.95
9,3,519.86
1,1,108.05
3,1,51.02
1,1,215.87
2,1,23.99
1,1,21.99
11,1,43.38
3,1,26.99
4,1,55.17
2,1,47.34
3,1,462.4
28,3,171.53
4,1,71.19
1,1,68.19
2,1,35.99
1,1,44.98
2,1,50.79
1,1,327.04
3,1,59.87
6,1,27.98
1,1,74.94
1,1,35.37
1,1,16.29
2,1,13.98
8,1,382.88
4,1,193.44
2,1,5.99
2,1,119.77
2,1,32.78
3,1,36.45
5,1,142.54
2,1,106.94
8,1,47.0
2,1,26.96
11,1,109.57
8,2,1538.1
1,1,46.21
6,1,103.94
9,1,60.94
2,1,19.99
1,1,613.6
2,1,169.7
11,1,55.54
2,1,39.25
11,3,179.41
2,1,34.68
3,1,98.41
2,1,55.61
1,1,99.04
6,1,19.98
2,1,24.98
2,1,125.8
3,1,20.19
1,1,48.99
2,1,282.25
2,1,96.42
1,1,131.98
6,1,60.16
16,7,4353.8099999999995
1,1,69.17
6,1,11.78
1,1,25.99
5,1,27.49
3,1,25.77
2,1,29.99
10,2,329.09999999999997
2,1,1229.02
2,1,30.99
2,1,32.99
5,1,75.78
3,1,21.45
1,1,34.49
2,1,34.39
1,1,21.99
2,1,20.19
11,1,928.94
2,1,159.7
1,1,19.95
1,1,35.98
17,1,11.99
4,1,23.99
4,1,114.9
1,1,28.19
2,1,24.99
3,1,23.99
26,1,79.0
1,1,134.94
1,1,28.16
2,1,1254.85
8,2,163.91
3,1,692.81
1,1,23.99
1,1,181.16
4,1,57.97
2,1,168.5
6,1,291.35
3,1,32.98
1,1,15.59
2,1,20.99
1,1,7.59
6,2,219.96
2,1,53.66
2,1,36.14
1,1,23.99
2,1,31.94
4,1,47.49
2,1,34.0
1,1,907.5
3,1,14.59
2,1,18.98
3,1,55.97
3,1,25.99
3,1,32.98
1,1,63.96
3,1,51.72
8,2,63.97
3,1,69.07
1,1,19.63
9,3,411.82
5,1,128.98
1,1,53.96
2,1,24.58
1,1,27.59
1,1,100.77
2,1,340.7
1,1,30.29
12,4,267.68
3,1,121.52
1,1,37.83
1,1,13.99
3,1,138.92
4,1,58.91
1,1,44.99
2,1,40.98
11,1,90.99
1,1,33.99
2,1,115.98
2,1,34.19
9,1,40.98
1,1,59.38
1,1,53.8
1,1,122.98
1,1,92.99
10,1,36.78
1,1,17.39
8,1,14.99
13,2,913.13
5,1,35.95
5,1,104.96
1,1,53.38
1,1,36.39
2,1,16.29
1,1,28.98
1,1,97.78
2,1,68.59
3,1,19.29
19,3,3298.5699999999997
2,1,146.99
4,2,708.63
1,1,90.58
2,1,36.73
1,1,43.98
2,1,67.98
4,1,7.98
1,1,705.8
3,2,217.91
2,1,5.59
1,1,92.92
2,1,31.38
15,3,425.03999999999996
1,1,59.98
6,1,83.58
1,1,73.96
3,1,100.94
1,1,286.0
4,1,38.78
6,1,1140.35
4,1,392.65
1,1,80.9
3,1,38.98
2,1,37.98
2,1,50.43
8,1,185.66
1,1,41.59
4,1,363.39
2,1,91.98
1,1,65.45
2,1,403.06
4,1,18.99
4,1,281.1
1,1,36.98
1,1,23.99
8,2,3104.24
1,1,17.49
1,1,186.66
2,1,104.99
5,1,28.19
1,1,65.99
1,1,37.77
3,1,51.79
4,1,18.11
1,1,15.17
1,1,74.57
1,1,7.99
7,1,34.98
6,1,35.99
1,1,36.07
1,1,33.98
4,1,67.96
2,1,267.7
1,1,189.21
2,1,19.99
13,1,155.98
4,1,21.93
2,1,29.97
1,1,48.99
2,1,21.99
1,1,34.5
2,1,29.19
1,1,23.19
2,1,35.97
3,1,42.0
3,2,130.94
2,1,394.86
1,1,62.95
1,1,59.35
1,1,55.38
4,2,252.95999999999998
1,1,62.17
7,1,60.99
1,1,67.37
3,1,327.66
2,2,85.55000000000001
1,1,9.99
2,1,14.59
3,1,24.99
1,1,116.31
3,1,23.19
4,2,402.24
1,1,34.18
1,1,7.5
1,1,37.59
3,1,28.99
1,1,35.78
8,2,950.47
2,1,35.78
1,1,10.79
2,1,37.99
5,1,38.98
3,1,112.41
2,1,74.77
8,1,724.82
3,2,115.11000000000001
3,1,19.59
1,1,40.18
3,1,54.0
6,1,37.76
2,1,208.18
3,1,68.45
1,1,95.47
3,1,40.59
2,1,40.59
9,2,248.78000000000003
4,1,18.59
1,1,60.11
2,1,156.7
2,1,37.59
2,1,175.95
4,1,87.99
7,1,417.02
3,1,170.56
3,1,48.8
1,1,35.99
4,1,50.79
3,1,32.99
3,1,18.99
1,1,196.68
1,1,11.98
3,1,164.15
6,1,57.0
3,1,53.37
3,1,78.96
9,1,10.57
15,1,25.99
1,1,51.37
1,1,110.11
1,1,58.8
3,1,25.99
1,1,145.92
12,1,93.49
1,1,49.18
5,2,110.33
1,1,17.99
3,1,20.96
4,1,377.9
6,1,14.99
1,1,368.0
6,2,2124.15
2,1,14.98
2,1,48.77
2,1,16.78
3,1,80.95
1,1,117.47
1,1,28.66
4,2,535.22
1,1,70.98
2,1,29.49
2,1,28.75
1,1,28.22
5,2,8397.32
5,1,29.18
3,1,22.19
3,1,484.82
1,1,106.48
4,1,35.09
3,2,192.96
2,1,14.0
1,1,132.97
6,1,12.98
3,1,165.68
5,2,87.33000000000001
4,1,28.18
1,1,109.14
3,1,38.98
1,1,48.25
3,1,63.99
2,1,27.38
3,1,25.99
3,1,59.85
3,1,28.98
1,1,28.96
1,1,42.95
5,2,60.81
1,1,30.99
1,1,44.99
4,1,28.19
1,1,54.57
2,1,85.26
2,1,28.7
5,1,35.97
1,1,34.98
6,1,123.94
3,1,9.99
1,1,43.38
3,1,68.78
2,1,278.7
3,2,125.88
1,1,69.77
1,1,18.39
1,1,5.59
2,1,118.26
1,1,21.95
3,1,10.98
2,1,63.18
3,1,29.99
3,1,81.98
5,1,53.77
2,1,160.34
1,1,38.98
5,3,262.96
4,1,88.99
1,1,55.38
2,1,89.99
3,1,21.99
8,2,152.36
2,1,18.08
1,1,16.29
1,1,41.78
9,1,78.61
3,1,23.99
2,1,79.77
1,1,82.19
2,1,55.37
2,1,172.65
1,1,64.59
1,1,25.99
1,1,82.96
5,1,72.18
9,1,171.97
2,2,1032.33
3,1,63.48
1,1,109.86
8,2,100.51
1,1,24.99
2,1,58.99
1,1,18.99
3,1,49.98
2,1,42.19
3,1,106.97
1,1,12.7
6,2,186.32
7,1,34.5
1,1,534.82
2,1,240.34
4,1,43.01
5,1,38.91
3,1,64.1
1,1,354.6
44,1,16.99
4,1,47.97
9,1,18.99
5,1,95.62
2,2,6007.32
1,1,34.37
1,1,26.59
2,1,40.59
2,1,46.79
1,1,79.44
3,1,1100.0
5,1,48.79
2,1,124.38
1,1,19.99
4,1,95.05
1,1,45.55
1,1,79.98
2,1,26.98
1,1,20.19
1,1,83.38
4,1,102.99
3,1,107.0
2,1,61.99
2,1,29.3
1,1,39.98
3,1,287.82
1,1,16.59
1,1,25.19
2,1,23.99
2,1,120.96
1,1,7.97
1,1,85.95
2,2,119.37
3,1,52.99
2,1,35.59
3,1,111.02
2,1,58.14
3,1,9.18
1,1,29.95
1,1,41.77
2,1,47.48
1,1,37.59
21,2,74.62
1,1,43.99
1,1,20.99
2,1,31.99
4,2,415.05
2,1,28.99
2,1,99.34
4,1,61.97
5,3,142.93
1,1,49.0
2,1,49.6
4,2,367.3
4,1,283.09
1,1,24.99
4,1,167.14
6,3,147.95
5,1,10.99
8,3,2119.9
1,1,81.78
1,1,56.96
2,1,53.99
3,1,20.19
3,1,21.99
5,2,74.17
1,1,620.15
3,1,127.46
2,1,107.99
1,1,24.19
3,1,338.0
1,1,14.98
17,13,3573.14
3,1,94.16
8,1,149.29
2,1,137.45
1,1,63.99
7,1,280.23
3,1,44.17
8,2,649.14
3,1,30.38
1,1,17.99
2,1,35.78
6,1,166.9
5,1,8.16
1,1,38.38
3,1,115.98
3,1,15.98
2,1,51.99
7,1,3383.4
5,1,43.96
22,2,655.34
2,1,27.76
4,1,60.96
6,1,131.73
1,1,65.73
1,1,45.48
3,1,62.1
1,1,38.28
2,1,39.28
3,2,92.94999999999999
1,1,25.99
2,1,18.99
4,1,597.25
2,1,23.98
2,1,56.32
2,1,58.37
2,1,24.99
4,3,320.91
2,2,130.98
4,1,38.76
5,2,81.57
1,1,131.98
8,3,667.94
2,1,32.68
1,1,316.65
4,1,33.37
7,1,58.52
2,1,118.8
3,1,58.96
1,1,21.0
3,1,73.16
2,1,42.77
4,1,38.98
1,1,17.99
1,1,82.96
1,1,96.96
1,1,90.42
1,1,15.99
5,1,73.05
3,1,130.7
2,1,32.08
2,1,123.91
1,1,129.94
3,1,1200.5
2,1,19.99
3,1,46.57
10,2,63.96
1,1,26.99
1,1,36.73
2,1,308.12
3,1,173.97
2,1,34.98
2,1,759.45
4,1,78.13
2,2,105.78
4,1,117.05
7,1,8.23
2,1,74.96
1,1,73.28
1,1,51.37
8,2,54.98
3,1,24.97
2,1,50.62
1,1,226.67
1,1,29.98
4,1,46.57
2,1,28.38
7,1,245.79
2,1,28.78
2,1,34.36
1,1,138.85
1,1,11.99
1,1,32.19
1,1,14.99
1,1,25.99
1,1,15.99
1,1,655.1
5,2,132.16
5,2,626.77
5,1,87.64
4,1,31.19
5,1,117.98
2,1,34.98
3,1,27.38
1,1,40.98
2,2,144.49
1,1,36.99
2,1,40.98
3,1,6.98
2,1,25.19
4,1,79.74
1,1,32.39
2,1,25.49
2,1,24.99
5,1,15.97
5,1,47.79
4,1,9.79
1,1,168.36
6,2,1216.51
3,1,53.37
2,1,63.9
4,1,80.84
2,1,30.99
1,1,153.38
13,2,534.9100000000001
1,1,25.28
1,1,76.96
1,1,37.96
4,2,163.4
1,1,152.7
11,1,147.9
1,1,33.18
2,1,70.96
3,1,201.9
8,1,1513.68
3,1,34.19
7,2,134.4
1,1,22.99
3,1,69.18
9,1,62.99
1,1,302.47
2,1,33.19
1,1,49.95
5,1,94.18
6,3,228.4
8,1,108.85
1,1,56.78
2,1,18.28
7,1,96.03
1,1,46.79
3,1,387.35
1,1,184.16
1,1,245.96
5,3,516.88
2,1,1268.08
1,1,22.73
8,1,33.62
1,1,49.99
1,1,32.94
2,1,128.27
5,1,31.97
1,1,22.99
1,1,30.48
3,1,36.95
2,1,32.15
1,1,43.92
1,1,67.99
1,1,22.99
9,2,89.56
2,1,54.82
3,1,26.99
4,1,84.99
3,1,71.59
15,3,838.48
2,1,232.92
1,1,33.16
2,1,87.96
7,1,23.99
8,2,451.65
2,1,21.99
1,1,160.92
1,1,45.17
3,1,228.95
1,1,42.45
1,1,24.99
1,1,23.19
1,1,73.98
3,1,160.6
2,1,906.11
9,1,20.99
2,1,12.99
4,1,306.98
2,1,82.98
1,1,35.18
3,1,166.03
2,1,33.99
1,1,21.45
1,1,41.56
3,1,39.97
1,1,44.59
2,2,76.18
1,1,40.49
2,1,37.78
1,1,350.28
4,1,63.99
3,1,61.99
5,1,86.13
5,1,124.88
1,1,120.99
3,1,21.39
2,1,320.52
1,1,8.99
2,1,164.2
1,1,120.3
2,1,106.0
3,1,23.02
4,1,122.72
2,1,93.58
1,1,21.98
1,1,146.75
2,1,96.7
1,1,25.98
2,1,19.99
3,1,14.99
3,1,40.48
1,1,50.59
2,1,36.18
1,1,46.58
1,1,86.45
2,1,255.28
1,1,88.44
1,1,45.77
1,1,299.76
2,1,28.94
7,1,119.74
1,1,22.45
4,1,42.19
1,1,42.59
2,1,80.98
2,1,29.38
4,1,75.76
4,1,34.44
2,1,38.99
4,1,106.77
10,1,47.95
1,1,89.15
6,1,32.02
21,1,72.19
2,1,63.38
11,1,23.6
2,1,32.99
2,1,248.04
2,1,40.59
5,2,109.89999999999999
4,1,192.88
4,1,43.2
1,1,134.44
3,1,38.59
4,1,29.9
1,1,58.96
6,2,51.760000000000005
1,1,16.43
2,1,27.97
4,1,21.99
10,2,202.14
6,1,28.99
2,1,82.09
2,1,111.46
9,1,34.58
3,1,82.19
1,1,63.49
12,2,53.97
1,1,72.65
2,1,457.63
2,1,146.54
1,1,50.98
2,1,27.99
1,1,42.99
3,1,42.19
5,1,39.69
1,1,37.98
4,1,45.99
10,6,348.70000000000005
4,1,17.88
1,1,63.99
5,2,48.81
5,1,1515.0
10,2,457.0
3,1,43.89
1,1,24.99
1,1,13.89
2,1,33.97
4,2,227.18
1,1,34.59
4,1,33.99
3,1,110.93
9,1,532.89
1,1,33.48
1,1,202.95
3,1,14.18
4,1,47.79
4,2,114.41
6,2,476.42
1,1,21.99
4,1,142.97
1,1,14.63
1,1,193.88
3,1,17.99
1,1,78.33
4,1,37.18
1,1,25.99
2,1,35.35
7,1,81.19
2,1,37.59
2,1,87.49
1,1,20.99
1,1,68.39
5,4,214.51
2,1,45.39
1,1,228.24
1,1,76.18
1,1,227.03
5,1,24.99
4,1,31.49
8,3,189.95000000000002
1,1,17.98
5,1,209.59
1,1,17.19
7,1,153.52
3,1,312.19
6,1,174.98
2,1,10.55
1,1,3.99
1,1,26.99
1,1,14.99
7,1,65.94
2,1,78.47
4,1,116.16
3,1,593.62
2,1,22.99
4,1,123.12
5,1,25.99
4,1,123.95
2,1,154.97
3,1,39.7
1,1,4.98
2,1,518.7
2,1,168.96
1,1,75.96
1,1,19.39
2,1,31.36
1,1,98.94
2,1,100.01
6,1,10.99
1,1,263.74
1,1,62.44
3,1,45.99
3,1,123.93
1,1,126.6
1,1,25.27
9,1,76.18
3,1,22.19
1,1,39.98
3,1,75.19
5,1,80.96
1,1,78.96
3,1,90.49
1,1,60.43
4,1,387.75
2,1,27.99
8,1,27.19
1,1,66.9
2,2,79.16
2,1,45.79
1,1,18.48
7,1,32.18
4,1,53.99
3,1,42.58
2,1,29.98
2,1,332.31
2,1,41.78
1,1,62.16
5,1,28.78
7,1,58.99
2,1,32.19
3,1,15.99
3,1,12.96
1,1,22.99
3,1,46.99
6,1,112.17
1,1,200.36
3,1,24.99
4,1,92.29
2,1,31.98
2,1,60.67
2,1,2.99
2,1,60.99
12,2,186.97
2,1,70.77
1,1,344.66
2,1,9.99
3,1,70.75
2,1,751.93
3,1,18.99
4,2,134.75
4,1,143.89
1,1,79.46
2,1,14.48
13,2,219.88
1,1,43.69
2,1,163.5
1,1,18.59
2,2,122.77000000000001
1,1,44.35
4,1,18.76
2,2,19.57
11,1,38.46
26,1,53.79
1,1,52.0
8,1,79.97
4,2,120.98
7,1,202.54
3,1,31.98
2,1,17.19
1,1,9.49
1,1,26.28
1,1,36.7
1,1,52.58
1,1,301.27
2,1,169.86
7,3,198.32
2,1,35.78
4,1,71.92
2,1,77.41
1,1,14.19
1,1,69.14
1,1,23.19
1,1,83.99
2,1,77.4
3,1,45.98
4,1,36.59
3,1,222.97
7,1,407.6
1,1,68.97
3,1,62.99
2,1,17.99
5,1,35.73
1,1,12.99
6,1,200.14
7,1,41.99
8,1,88.19
4,1,41.98
1,1,100.62
2,1,30.6
5,1,23.19
2,1,47.54
1,1,5.99
1,1,2408.2
1,1,34.98
3,2,125.53
13,1,42.49
4,1,91.54
7,1,120.96
1,1,41.98
3,1,31.78
6,1,49.18
1,1,111.52
1,1,14.98
6,1,39.58
2,1,13.95
3,1,285.94
3,1,253.43
2,1,71.57
2,1,51.46
1,1,47.81
3,1,24.97
1,1,95.99
2,1,448.95
2,1,28.37
3,1,42.29
1,1,7.99
1,1,206.27
1,1,34.59
1,1,72.92
1,1,33.38
2,1,86.49
1,1,22.19
2,1,39.67
1,1,34.0
5,1,205.96
5,1,81.35
18,3,1159.84
3,1,25.28
2,1,100.97
2,1,20.98
2,1,13.98
2,1,61.99
2,1,21.99
2,1,107.92
1,1,63.99
2,1,52.0
2,1,345.75
7,2,519.85
8,1,378.45
2,1,337.1
2,1,36.66
2,1,305.75
6,1,548.18
1,1,61.94
3,1,20.98
1,1,10.84
3,1,62.96
3,1,60.87
1,1,25.04
6,1,192.05
3,2,83.10000000000001
2,1,352.78
23,1,69.59
5,2,267.1
